MX_IFD.UNIT1,OLD_IFL.UNIT
ae999.1607,GigabitEthernet1/1/8.1607
ae999.2829,GigabitEthernet1/1/8.2829
ae999.3721,GigabitEthernet1/1/8.3721
ae999.1499,GigabitEthernet1/1/9.1499
ae999.1600,GigabitEthernet1/1/9.1600
ae999.1609,GigabitEthernet1/1/9.1609
ae999.596,GigabitEthernet2/1/0.596
lo0.0,LoopBack.0
lo0.2401,LoopBack.2401
lo0.2522,LoopBack.2522
lo0.2147483647,LoopBack.2147483647
irb.60,Vlanif.60
irb.2501,Vlanif.2501
irb.2531,Vlanif.2531
irb.2702,Vlanif.2702
irb.2719,Vlanif.2719
irb.2727,Vlanif.2727
irb.2744,Vlanif.2744
irb.3001,Vlanif.3001
irb.3002,Vlanif.3002
irb.3003,Vlanif.3003
irb.3004,Vlanif.3004
irb.3005,Vlanif.3005
irb.3021,Vlanif.3021
irb.3022,Vlanif.3022
irb.3023,Vlanif.3023
irb.3024,Vlanif.3024
irb.3025,Vlanif.3025
irb.3026,Vlanif.3026
irb.3027,Vlanif.3027
irb.3028,Vlanif.3028
irb.3029,Vlanif.3029
irb.3030,Vlanif.3030
irb.3051,Vlanif.3051
irb.3052,Vlanif.3052
irb.3053,Vlanif.3053
irb.3054,Vlanif.3054
irb.3055,Vlanif.3055
irb.3056,Vlanif.3056
irb.3057,Vlanif.3057
irb.3058,Vlanif.3058
irb.3059,Vlanif.3059
irb.3060,Vlanif.3060
irb.3101,Vlanif.3101
irb.3102,Vlanif.3102
irb.3103,Vlanif.3103
irb.3104,Vlanif.3104
irb.3105,Vlanif.3105
irb.3106,Vlanif.3106
irb.3107,Vlanif.3107
irb.3108,Vlanif.3108
irb.3109,Vlanif.3109
irb.3110,Vlanif.3110
